canonical_paper_id,title,venue,year,paper_type,doi
2018-accumulation-schilbach-traps_nodate_poverty-and-cognitive-function,Poverty and Cognitive Function,The Economics of Asset Accumulation and Poverty Traps,,published,
2019-banerjee-paper_nodate_the-challenges-of-universal-health-insurance-in-developing-c,The Challenges of Universal Health Insurance in Developing Countries: Evidence from a Large-Scale Randomized Experiment in Indonesia,,,published,
2020-29-economics-gruber-maclean-september-volpp)-wilkinson-wright_2020_the-effect-of-increased-costsharing-on-low-value-service-use,"“The Effect of Increased Cost-Sharing on Low Value Service Use,”",Health Economics,2020,published,
2020-55-7-9-economics-gruber_2020_alan-krueger-mattered,"“Alan Krueger Mattered,”",Business Economics,2020,published,
2021-ho-hortascu-lee-lizzeri-organization-whinston-yurukoglu)_2021_structural-empirical-analysis-of-contracting-in-vertical-mar,Structural Empirical Analysis of Contracting in Vertical Markets,Handbook of Industrial Organization,2021,published,
2022-294-gruber-lordan-medicine-pilling-propper-saunders)-science_2022_the-impact-of-mental-health-support-for-the-chronically-ill-,"“The Impact of Mental Health Support for the Chronically Ill on Hospital Utilisation: Evidence from the UK,”",Social Science and Medicine,2022,published,
2022-3(7)-forum-gandhi)-grabowski-gruber-mcgarry-shen_2022_staffing-patterns-in-us-nursing-homes-during-covid19-outbrea,"""Staffing Patterns in US Nursing Homes During COVID-19 Outbreaks,""",JAMA Health Forum,2022,published,
2024)-mikusheva_nodate_gmm-is-inadmissible-under-bounded-identification-strength,GMM is Inadmissible Under Bounded Identification Strength,,,published,
2024-gruber-paper_2024_how-should-we-provide-benefits-to-gig-workers,“How Should We Provide Benefits to Gig Workers?”,Brookings Institution White Paper,2024,published,
2024-luo-olken_nodate_emigration-during-turbulent-times,Emigration During Turbulent Times,,,published,
2025-6)-donaldson-eds-redding-regional_2025_transport-infrastructure-and-policy-evaluation,Transport Infrastructure and Policy Evaluation,Handbook of Regional and Urban Economics (Volume 6),2025,published,
2025-assessment-gensler-gruber-johnson-mauro-panizaa-press_nodate_health-care,"“Health Care,”",,,published,
2025-besley-bucelli-century-donaldson-eds-velasco_nodate_international-trade-since-the-washington-consensus-the-gains,International trade since the Washington Consensus: the gains and the pains,,,published,
2025-burgess-olken_nodate_national-borders-and-the-conservation-of-nature,National Borders and the Conservation of Nature,Journal of the European Economic Association,,published,
2025-duflo-hanna-olken_nodate_the-limits-of-government-outsourcing-property-tax-reassessme,The Limits of Government Outsourcing: Property Tax Re-Assessments in India,,,published,
2025-forum-gruber_nodate_chinas-social-health-insurance-in-the-era-of-rapid-populatio,"“China’s Social Health Insurance in the Era of Rapid Population Aging,”",,,published,
2025-olken-weiss_nodate_social-protection-policymaker-beliefs-and-empirical-evidence,Social Protection: Policymaker Beliefs and Empirical Evidence,Handbook of Development Economics,,published,
2026)-mikusheva-sølvsten_nodate_estimation-and-exclusion-restrictions-in-clustered-linear-mo,Estimation and exclusion restrictions in clustered linear models,,,published,
23andme_research_group-ahlskog-ajnakina-beauchamp-becker-belsky-benjamin-bennett-burik-caspi-cesarini-corcoran-esko-freese-goldman-harden-harris-herd-hinds-iacono-jayashankar-johannesson-kleinman-koellinger-laibson-linner-magnusson-mallard-mcgue-meyer-milani-moffitt-okbay-oskarsson-poulton-steptoe-sugden-tucker-drob-turley-visscher-wang-williams-young_2021_resource-profile-and-user-guide-of-the-polygenic-index-repos,Resource profile and user guide of the Polygenic Index Repository,Nature Human Behaviour,2021,published,
"23andme_research_team-abdellaoui-auton-bao-beauchamp-benjamin-bertram-biroli-boardman-boomsma-buzdugan-caplin-cesarini-chen-clark-conlin-dolan-eibich-eqtlgen_consortium-esko-fehr-fischbacher-fontana-fontanillas-gonzalez-gratten-groenen-hammerschlag-harris-hasler-hinds-hofman-ikram-international_cannabis_consortium-jain-johannesson-joshi-karhunen-karlsson-kessler-kleinman-koellinger-kong-kooyman-kumari-laibson-lebreton-lee-levin-lill-linner-m\""annikk\""o-mackillop-magnusson-mcqueen-meddens-meyer-morcillo-suarez-muntan\'e-navarro-nivard-okbay-palmer-pers-posthuma-psychiatric_genomics_consortium-rietveld-rooij-sanchez-roige-schmidt-schunk-smart-social_science_genetic_association_consortium-stein-sutter-svento-taskesen-thurik-tiemeier-timmers-timshel-tino-trzaskowski-turley-uitterlinden-ursano-vlaming-wagner-wedow-white-wilson-wit-wu-yang-z\""und-zhang_2019_genomewide-association-analyses-of-risk-tolerance-and-risky-",Genome-wide association analyses of risk tolerance and risky behaviors in over one million individuals identify hundreds of loci and shared genetic influences,Nature Genetics,2019,published,
23andme_research_team-benjamin-cesarini-fontana-furlotte-johannesson-laibson-lee-maghzian-magnusson-neale-nguyen-viet-okbay-oskarsson-ssgac-turley-visscher-walters_2018_multitrait-analysis-of-genomewide-association-summary-statis,Multi-trait analysis of genome-wide association summary statistics using MTAG,Nature Genetics,2018,published,
254-economy-fudenberg_nodate_price-discrimination-in-the-digital-economy,Price Discrimination in the Digital Economy,,,published,
364-381-fudenberg-games_nodate_rationalizable-partitionconfirmed-equilibrium-with-heterogen,Rationalizable Partition-Confirmed Equilibrium with Heterogeneous Beliefs,,,published,
421-25-fudenberg-papers-proceedings_nodate_simplicity-and-probability-weighting-in-choice-under-risk,Simplicity and Probability Weighting in Choice under Risk,,,published,
43(5)-affairs-gruber-mor-others)-wen_2024_covid19-vaccines-moderna-and-pfizerbiontech-use-varied-by-ur,"“Covid-19 Vaccines: Moderna and Pfizer-BioNTech Use Varied by Urban, Rural Counties,”",Health Affairs,2024,published,
5-bradford-cambridge-ed-gruber-krueger)-policy-press_nodate_the-incidence-of-mandated-employerprovided-insurance-lessons,"“The Incidence of Mandated Employer-Provided Insurance: Lessons from Workers' Compensation Insurance,”",MIT Press,,published,
9-cambridge-ed-feldstein)-gruber-policy-poterba-press_nodate_a-major-risk-approach-to-health-insurance-reform,"“A Major Risk Approach to Health Insurance Reform,”",MIT Press,,published,
94-allen)-donaldson-economics-history”)-science_2022_persistence-and-path-dependence-a-primer,Persistence and Path Dependence: A Primer,Regional Science and Urban Economics,2022,published,
96-120-behavior-fudenberg-games_nodate_payoff-information-and-learning-in-signaling-games,Payoff Information and Learning in Signaling Games,,,published,
abadie-agarwal-dwivedi-shah_2026_doubly-robust-inference-in-causal-latent-factor-models,Doubly Robust Inference in Causal Latent Factor Models,,2026,working,
abadie-agarwal-imbens-jia-mcqueen-stepaniants-torres_2026_estimating-the-value-of-evidencebased-decision-making,Estimating the Value of Evidence-Based Decision Making,,2026,working,
abadie-agarwal-shah_2023_a-causal-inference-framework-for-data-rich-environments,A Causal Inference Framework for Data Rich Environments,,2023,working,
abadie-angrist-frandsen-pischke_2025_harvesting-differencesindifferences-and-eventstudy-evidence,Harvesting Differences-in-Differences and Event-Study Evidence,,2025,working,
abadie-angrist-frandsen-pischke_2026_harvesting-differencesindifferences-and-eventstudy-evidence,Harvesting Differences-in-Differences and Event-Study Evidence,,2026,working,
abadie-angrist-imbens_2002_instrumental-variables-estimates-of-the-effect-of-subsidized,Instrumental Variables Estimates of the Effect of Subsidized Training on the Quantiles of Trainee Earnings,Econometrica,2002,published,
abadie-athey-imbens-wooldridge_2020_samplingbased-versus-designbased-uncertainty-in-regression-a,Sampling-Based versus Design-Based Uncertainty in Regression Analysis,Econometrica,2020,published,
abadie-athey-imbens-wooldridge_2023_when-should-you-adjust-standard-errors-for-clustering,When Should You Adjust Standard Errors for Clustering?,Quarterly Journal of Economics,2023,published,
abadie-cattaneo_2018_econometric-methods-for-program-evaluation,Econometric Methods for Program Evaluation,Annual Review of Economics,2018,published,
abadie-chingos-west_2018_endogenous-stratification-in-randomized-experiments,Endogenous Stratification in Randomized Experiments,Review of Economics and Statistics,2018,published,
abadie-dermisi_2008_is-terrorism-eroding-agglomeration-economies-in-central-busi,Is Terrorism Eroding Agglomeration Economies in Central Business Districts? Lessons from the Office Real Estate Market in Downtown Chicago,Journal of Urban Economics,2008,published,
abadie-diamond-hainmueller_2010_synthetic-control-methods-for-comparative-case-studies-estim,Synthetic Control Methods for Comparative Case Studies: Estimating the Effect of California's Tobacco Control Program,Journal of the American Statistical Association,2010,published,
abadie-diamond-hainmueller_2015_comparative-politics-and-the-synthetic-control-method,Comparative Politics and the Synthetic Control Method,American Journal of Political Science,2015,published,
abadie-gardeazabal_2003_the-economic-costs-of-conflict-a-case-study-of-the-basque-co,The Economic Costs of Conflict: A Case Study of the Basque Country,American Economic Review,2003,published,
abadie-gardeazabal_2008_terrorism-and-the-world-economy,Terrorism and the World Economy,European Economic Review,2008,published,
abadie-gay_2006_the-impact-of-presumed-consent-legislation-on-cadaveric-orga,The Impact of Presumed Consent Legislation on Cadaveric Organ Donation: A Cross-Country Study,Journal of Health Economics,2006,published,
abadie-ghadiri-jadbabaie-jafarinodeh_2025_unbiased-regressionadjusted-estimation-of-average-treatment-,Unbiased Regression-Adjusted Estimation of Average Treatment Effects in Randomized Controlled Trials,,2025,working,
abadie-gu-shen_2024_instrumental-variable-estimation-with-first-stage-heterogene,Instrumental Variable Estimation with First Stage Heterogeneity,Journal of Econometrics,2024,published,
abadie-hsu-illick-misra-narasipura-rho_2026_timeaware-synthetic-control,Time-Aware Synthetic Control,,2026,working,
abadie-imbens-zheng_2014_inference-for-misspecified-models-with-fixed-regressors,Inference for Misspecified Models With Fixed Regressors,Journal of the American Statistical Association,2014,published,
abadie-imbens_2006_large-sample-properties-of-matching-estimators-for-average-t,Large Sample Properties of Matching Estimators for Average Treatment Effects,Econometrica,2006,published,
abadie-imbens_2008_on-the-failure-of-the-bootstrap-for-matching-estimators,On the Failure of the Bootstrap for Matching Estimators,Econometrica,2008,published,
abadie-imbens_2010_estimation-of-the-conditional-variance-in-paired-experiments,Estimation of the Conditional Variance in Paired Experiments,Annals of Economics and Statistics,2010,published,
abadie-imbens_2011_biascorrected-matching-estimators-for-average-treatment-effe,Bias-Corrected Matching Estimators for Average Treatment Effects,Journal of Business and Economic Statistics,2011,published,
abadie-imbens_2012_a-martingale-representation-for-matching-estimators,A Martingale Representation for Matching Estimators,Journal of the American Statistical Association,2012,published,
abadie-imbens_2016_matching-on-the-estimated-propensity-score,Matching on the Estimated Propensity Score,Econometrica,2016,published,
abadie-kasy_2019_choosing-among-regularized-estimators-in-empirical-economics,Choosing Among Regularized Estimators in Empirical Economics: The Risk of Machine Learning,Review of Economics and Statistics,2019,published,
abadie-l'hour_2021_a-penalized-synthetic-control-estimator-for-disaggregated-da,A Penalized Synthetic Control Estimator for Disaggregated Data,Journal of the American Statistical Association,2021,published,
abadie-shen-song_2025_efficiently-learning-synthetic-control-models-for-highdimens,Efficiently Learning Synthetic Control Models for High-dimensional Disaggregated Data,,2025,working,
abadie-spiess_2022_robust-postmatching-inference,Robust Post-Matching Inference,Journal of the American Statistical Association,2022,published,
abadie-vives-i-bastida_2026_synthetic-controls-in-action,Synthetic Controls in Action,Advances in Economics and Econometrics: Econometric Society Twelfth World Congress,2026,published,
abadie-zhao_2026_synthetic-controls-for-experimental-design,Synthetic Controls for Experimental Design,Review of Economics and Statistics,2026,published,
abadie_1997_changes-in-spanish-labor-income-structure-during-the-1980s-a,Changes in Spanish Labor Income Structure during the 1980's: A Quantile Regression Approach,Investigaciones Economicas,1997,published,
